east;size;sales;investment
FALSE;5;175699;0
FALSE;13;457825;0
FALSE;3;105825;5342
FALSE;60;2119777;0
FALSE;20;707041;4621
FALSE;2;70720;0
FALSE;6;212528;33040
FALSE;3;106271;0
FALSE;3;106574;0
FALSE;69;2451277;1511615
FALSE;3;106608;46718
FALSE;41;1460265;314081
FALSE;2;71312;4870
FALSE;4;142944;0
FALSE;11;393518;97354
FALSE;29;1038152;19390
FALSE;31;1110795;0
FALSE;5;179311;10760
FALSE;11;394998;0
FALSE;5;179557;16734
FALSE;4;143808;0
FALSE;13;468804;1000
FALSE;11;396968;54142
FALSE;6;216649;14281
FALSE;120;4345839;1677493
FALSE;4;144914;0
FALSE;4;144974;15788
FALSE;47;1704667;0
FALSE;13;471564;15432
FALSE;5;181420;11214
FALSE;3;108910;0
FALSE;6;217983;0
FALSE;3;109012;0
FALSE;3;109053;0
FALSE;10;364102;31529
FALSE;3;109283;0
FALSE;6;218617;15413
FALSE;3;109403;0
FALSE;56;2042464;90747
FALSE;30;1094855;21494
FALSE;7;255720;0
FALSE;41;1499739;884437
FALSE;15;549173;32254
FALSE;8;292902;0
FALSE;4;146533;0
FALSE;3;110056;23944
FALSE;8;293493;0
FALSE;5;183754;65998
FALSE;11;404303;0
FALSE;4;147279;5216
FALSE;7;258068;0
FALSE;2;73743;0
FALSE;105;3876260;906086
FALSE;4;147931;0
FALSE;10;370197;15376
FALSE;8;296447;1017
FALSE;68;2522656;101854
FALSE;27;1004145;27311
FALSE;3;111760;0
FALSE;5;186349;9664
FALSE;1;37277;0
FALSE;2;74689;0
FALSE;1;37359;0
FALSE;2;74734;4286
FALSE;3;112335;2948
FALSE;46;1723189;391715
FALSE;75;2810370;284093
FALSE;2;75001;5407
FALSE;33;1238865;0
FALSE;8;300461;66409
FALSE;72;2709411;0
FALSE;5;188284;0
FALSE;6;226159;322183
FALSE;22;829324;0
FALSE;3;113166;4956
FALSE;10;377780;0
FALSE;3;113359;28311
FALSE;16;605002;28150
FALSE;38;1442438;0
FALSE;4;151874;26472
FALSE;111;4215113;0
FALSE;2;75987;147362
FALSE;15;570092;0
FALSE;5;190036;1000
FALSE;3;114027;0
FALSE;10;380390;54194
FALSE;23;876112;9082
FALSE;55;2097778;31823
FALSE;2;76295;0
FALSE;14;534124;26296
FALSE;1;38179;0
FALSE;3;114607;7014
FALSE;5;191227;0
FALSE;34;1301598;0
FALSE;34;1303246;53683
FALSE;167;6403265;0
FALSE;3;115121;0
FALSE;3;115376;16153
FALSE;35;1346432;25537
FALSE;8;307962;0
FALSE;4;154343;0
FALSE;7;270227;0
FALSE;3;115824;0
FALSE;16;618368;0
FALSE;5;193637;13812
FALSE;12;464918;1083076
FALSE;7;271230;0
FALSE;13;503765;0
FALSE;7;271345;0
FALSE;196;7605210;0
FALSE;2;77631;0
FALSE;84;3266707;53667
FALSE;6;233503;0
FALSE;2;77836;18997
FALSE;17;662572;1000
FALSE;3;116986;1380
FALSE;3;117148;0
FALSE;12;469258;0
FALSE;47;1840964;5404
FALSE;3;117545;0
FALSE;27;1058355;0
FALSE;6;235475;0
FALSE;3;117886;5614
FALSE;10;393390;0
FALSE;1;39386;3856
FALSE;1;39414;15812
FALSE;65;2562020;27457
